"Data Source","World Development Indicators",

"Last Updated Date","2016-11-17",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Bahamas, The","BHS","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15693.3786243117","15253.2558345868","14721.3401292816","14837.4466755075","15361.9533826821","16120.8374068329","16888.9319783764","17338.2009669972","18157.7264972692","19515.9565797987","20486.8373590384","21131.6689024507","21606.4371551766","21304.6613470209","21619.3946485119","22602.8862149903","23417.2343600181","23928.0213178184","23397.8157719741","22196.8194943696","22431.1376351944","22665.1675571131","23234.7922247687","23277.8776695271","23576.960514993","23795.4382953871","",
"Bosnia and Herzegovina","BIH","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","913.01431609522","1158.71549359821","2269.60386475317","3128.00249684165","3658.55885943303","4062.00866349411","4373.12508856119","4661.14530651605","4972.2789891407","5261.89809560056","5723.55424677102","6412.54988560358","7330.40943345172","8025.02320669422","8796.28075333448","8686.59841435601","8941.52270817606","9422.27610821481","9705.01397901882","10115.5404037591","10426.9172783872","10509.651420006","",
"Belarus","BLR","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5224.69991936711","5331.20532535228","4918.65538524668","4642.51911573879","4191.49626394403","3846.32104792354","4039.67425565498","4596.6725799186","5060.88044138189","5331.03266330274","5785.87424964163","6245.42511420973","6703.77579211901","7369.82847398569","8497.62126687471","9662.05424409096","11022.0864043037","12345.1055924865","13917.7567546983","14082.5382840594","15385.4592726836","16603.3895298874","17218.3561003897","17683.1643017413","18250.5632168413","17660.9465857183","",
"Belize","BLZ","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3335.51370147004","3737.08709603861","4211.92853071694","4506.40603299171","4516.71273859895","4522.12924455008","4523.76085716112","4593.73397726854","4635.70879219696","4932.80708302016","5511.75036742375","5741.87077899496","5959.83953631157","6474.65236959906","6786.57932602938","7003.0550915496","7354.91768192184","7438.37232555194","7630.70031226225","7558.52150065336","7716.0572369195","7855.67442309914","8114.4437091069","8173.29755651623","8461.95788523344","8526.92751097758","",
"Bermuda","BMU","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26210.9109007466","26261.1259418547","27038.8767248633","28362.5661275732","28938.4392651508","30621.6915800819","31787.7790998267","33613.3724699575","35044.9513449448","36579.5634273514","40535.2082576999","43976.0925063775","43706.034736478","45797.3203552513","47835.4392260251","49877.2841082861","53949.4237061828","56640.9889952538","58288.6120944144","55320.1617108278","55254.2141192067","54984.5103947777","53097.6962878821","52443.841660786","","","",
"Bolivia","BOL","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2396.11426794164","2555.46885243457","2604.90930139596","2726.41054001566","2857.41226206282","2993.8101580277","3119.28154499026","3264.94496262979","3399.25311524581","3399.73575796407","3497.27947511032","3570.05549994333","3647.57208828218","3753.0508490101","3946.70901643391","4180.32006779208","4438.61939105384","4684.92802880409","4986.8488455767","5108.8468943723","5298.08290966756","5598.56677250699","5899.78130262682","6304.20409606015","6654.03884646943","6880.90335861913","",
"Brazil","BRA","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6622.21884142056","6831.45970377721","6844.359245053","7221.02229645588","7649.42945062394","8028.89874306257","8227.14245651627","8518.53953446443","8507.23297961347","8545.79823697528","8963.38991258538","9182.10877745106","9468.34701172517","9629.94848657327","10324.8192692568","10860.3980171765","11501.9843192753","12389.5670435652","13140.7622644577","13093.9972215199","14114.5185441419","14827.1467182835","15246.2607662872","15816.8004000261","15951.2212185795","15359.3262966752","",
"Barbados","BRB","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8593.94401572932","8499.59678659714","8174.75535607324","8402.72066851679","8720.63551643169","9053.49151039393","9555.75093082568","10135.9305514593","10585.9697074394","10742.9438469115","11443.5765222148","11386.8297453506","11622.6418159499","12073.3902181049","12540.4731724113","13421.014347625","14563.9996966157","15144.5807081617","15444.6915253636","14872.8644796034","15036.3625304529","15401.5496498863","15673.1733129577","15876.6183024017","16116.487565159","16390.8649228605","",
"Brunei Darussalam","BRN","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49815.0432739985","51601.0937284707","53739.0446128096","53660.5533600288","55010.7715397549","57164.3300861012","58410.4211021922","57157.0987562936","56162.4561155671","57503.0971934472","59253.6774328849","61062.5821681824","63217.4299732546","65178.528947622","66146.0732050526","67366.8338129998","71257.3316101172","72032.3893242433","70824.0844446763","68962.8552142326","70486.3330607909","73265.1216346752","74195.021192084","73005.5554563149","71444.8987808606","70817.0185097872","",
"Bhutan","BTN","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1507.86214869201","1554.09666629512","1683.41312434441","1788.99588915594","1945.52704605182","2136.98824747008","2281.49667537561","2405.15910777828","2514.28408781463","2681.77022922523","2850.81599136758","3064.827798501","3344.1598823382","3564.72322466841","3770.09468533672","4060.20167468669","4365.9359055514","5172.72695391386","5418.20202572571","5717.16573671645","6354.39393447452","6882.68840700056","7251.43319165982","7418.54535461133","7844.22032705046","8076.95687588369","",
"Botswana","BWA","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5234.82146277016","5647.62568443586","5780.59923652604","5871.11985209034","6057.04371280032","6462.09038262814","6810.13548937484","7328.0016720489","7317.55843668502","8003.46657037624","8212.67229634985","8296.88736275908","8814.83284441763","9283.02040386268","9661.29044524083","10268.5146696177","11277.6238718177","12310.679963763","13082.0020763527","11934.0608860359","12854.1648943944","13634.267890571","14211.0075286066","15548.2635462402","15990.9437659118","15807.0857198278","",
"Central African Republic","CAF","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","609.533226978286","611.13220036307","570.103660022596","570.533585948814","595.662521282576","635.816670104814","606.735537514433","634.826363477264","657.015655006182","676.654637469711","661.650193716705","694.15751806977","717.984418490987","681.561084459829","730.260504358602","747.903477066659","785.093918181702","828.077653322984","845.902412702852","850.777697305853","870.739164242144","900.639784528143","925.714944887756","581.1246142239","571.877457975226","597.36719026171","",
"Canada","CAN","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20084.5736126121","20041.947828627","20429.7405427102","21233.313118075","22448.0254745701","23340.8377687738","23888.3007783263","25070.6781809224","26106.6316936167","27656.6769217414","29187.5187509629","30086.5627969453","30851.3114815056","32186.226856963","33752.2133883015","36134.6022423077","37956.8142510326","39417.5319769237","40277.6193121099","38746.2502780317","40069.4709625183","41565.2712210369","42143.9687843089","44281.2691757085","45025.0261369835","44310.1210825094","",
"Central Europe and the Baltics","CEB","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6906.37871352595","6471.96082074957","6511.47766141464","6768.39721552498","7200.81847857943","7784.51798792533","8283.66455824479","8675.60476719734","9067.71087963859","9365.31282771257","10004.1736754431","10788.3926118762","11582.9384434484","12317.8200757746","13375.7381603914","14305.9349864117","15957.1322507345","17805.5728030732","19381.2698577817","19464.02268666","20474.022385219","21839.7452889726","22726.2261978043","23682.446880021","24529.0470846574","25295.0280713324","",
"Switzerland","CHE","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26734.0125751395","27030.9270920898","27332.0017782308","27693.6952291652","28414.7600522116","28952.764943967","29674.7390146756","30919.8105594198","31984.6286027657","32558.013189599","34500.0786139217","35381.1937021125","36376.6924506913","36419.3783626995","37760.8921479159","39152.8734196707","43350.8389502036","47404.6676185633","50438.7629476633","49903.2731853737","51356.9639825486","54550.6893664757","57205.3721892359","59351.4230599344","59535.7997443952","60535.1587571323","",
"Channel Islands","CHI","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4407.20447861333","4887.03339064342","5579.52592917177","6077.83718749445","6528.17764857212","7338.52292692068","7993.25248294952","8599.41663129067","8907.98353016633","8846.42962041601","9848.8983965929","10249.826491738","10535.5604132836","11133.5707278671","11991.2725338787","12964.8049395778","15637.6964386248","16841.5600258445","16437.5720869418","16226.1486790103","18249.5407673741","20266.0360287483","21370.0993066395","21443.7503564815","22128.5576684484","22316.207696515","",
"China","CHN","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","979.978983193656","1091.44883055913","1260.16250029981","1453.15911825849","1659.31291578961","1859.83041754968","2060.02970752279","2265.31358937499","2446.14993291127","2649.74516240302","2915.41466469151","3205.92747232788","3527.35190364393","3933.59947714902","4422.6503206409","5053.37904019531","5836.83277262765","6807.11220527096","7569.67989159862","8290.08892980984","9238.75526967938","10274.4943512259","11219.927669958","12218.5211184044","13254.642984356","14238.6693392857","",
"Cote d'Ivoire","CIV","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2081.51205529901","2077.38742866667","2047.10068503074","2021.61297493781","2013.65177815409","2133.24881076207","2269.52525368649","2325.24033957364","2398.61358418274","2411.94005759073","2360.2061393654","2367.1340178254","2319.37759662421","2292.62794366143","2343.02927003931","2415.25043659545","2478.83822658579","2538.1316769177","2598.68998591442","2645.43063428038","2671.13955296331","2546.90681230458","2803.70093712871","3037.25769213398","3270.13738897818","3495.82974646712","",
"Cameroon","CMR","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1789.25837349077","1726.9019473478","1662.50490502852","1522.74274661194","1542.98112312131","1595.12267659342","1657.89045668956","1728.45853546805","1784.38881823159","1836.00101347293","1905.37095871236","1984.23793560505","2041.76012186486","2111.16425178734","2192.34974608017","2256.1973583548","2339.80725928293","2417.74892581232","2472.46953256389","2475.60567133384","2522.88180995012","2614.49556147628","2715.35411027364","2840.74307454177","2983.08304030027","3122.64396469798","",
"Congo, Rep.","COG","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3397.58607120388","3501.37114093542","3580.0674048229","3535.98119101745","3324.43988682543","3436.54923197916","3552.01403353295","3493.11394407345","3564.54055600701","3433.82336947347","3684.10008307332","3819.67936564898","3965.12327785305","3985.66779654706","4137.02194779133","4482.45359136926","4770.05789070539","4675.45670602191","4879.03855569495","5125.45061355392","5482.1113761029","5632.43587545625","5803.08880013078","5950.4686201834","6299.68435295346","6368.12128460866","",
"Colombia","COL","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4869.162130875","5050.71925173355","5327.88535339145","5485.49926317622","5827.99664529434","6155.68836805799","6294.86516766295","6520.03700346587","6528.90067301478","6256.81018104118","6585.33397515009","6750.68713876565","6927.32091932611","7241.33194549199","7732.32056211839","8248.35496067314","8957.336622113","9710.90118299452","10132.2394853533","10260.2052170834","10680.0020763025","11496.5272523381","12058.461303685","12727.0991715943","13376.6306574434","13800.7866254197","",
"Comoros","COM","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","989.834059298943","939.506251155335","1012.82322403304","1037.60209177744","975.523502129909","1003.28179696261","980.981310796841","1010.22558479881","1007.13693577768","1015.42460185457","1122.21276598727","1145.63735587603","1161.5085062892","1180.72192987114","1207.05504694416","1250.66924143197","1291.51866260368","1304.41462227944","1303.19752240463","1306.44000923569","1318.89589092466","1347.79775321118","1379.71598734093","1416.46220278157","1434.50052405888","","",
"Cabo Verde","CPV","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1072.88120739767","1098.18856834489","1214.28083713004","1314.93292288711","1556.82997934896","1766.68925739571","1951.15541968928","2149.79103686129","2386.44394594651","2634.08357139445","3014.57246321231","3091.34298958348","3245.29594589774","3393.99429589942","3791.21923244464","4137.48615863855","4566.16622327408","5365.04268565911","5803.38600242569","5739.37625482752","5850.14532831171","6147.97453394255","6256.8008425456","6344.34294349907","6543.35296220579","6689.81139039537","",
"Costa Rica","CRI","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4712.55923111641","4869.36599573351","5299.643773121","5682.25389370403","5927.40073888538","6135.62373226962","6152.65069226097","6452.75893961399","6911.70266868701","7433.92970619619","7588.72600027139","7705.16081970545","7918.92030715158","8463.38046267925","8934.26885619533","9624.79691032607","10638.8368943628","11624.9687277958","12011.7309800336","11823.1920282355","12402.9592880253","13072.1425592889","13839.4689225844","14386.8967743366","14972.5843150574","15377.2295688962","",
"Caribbean small states","CSS","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5867.53412620347","6162.09318320681","6272.07768949426","6565.0401440271","6830.49025102676","7118.66303075279","7420.59436988239","7726.34166879343","7955.68126851344","8347.92588471052","8804.591924786","9153.70101787161","9627.89582289228","10445.4207422211","11169.6197887063","11894.6418922271","13092.1785981864","13818.6397020451","14235.8629855304","13752.6039786593","13853.5227256496","14221.6932280742","14574.1777447084","14945.4629986616","15309.3948059823","15587.223131583","",
"Cuba","CUB","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8851.15119725301","8104.65252665829","7280.83171578759","6308.72824575408","6455.76848289514","6719.77994562436","7345.594523436","7647.93540630684","7713.89912837385","8287.85610590846","8948.60269896304","9414.41363729681","9666.82918951948","10205.7586035578","11066.0451525836","12678.6044781653","14626.5246452203","16093.6291378528","17075.4913554672","17443.3629479558","18061.0096420539","18924.7632701642","19820.9769832893","20648.9739057436","","","",
"Curacao","CUW","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49902.1465489682","","","","","",
"Cyprus","CYP","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13189.5119961489","13378.4782225662","14576.680256834","14669.4059797883","15540.7335115621","16530.1909249246","16877.3031488255","17345.3304674037","18340.1206780524","19211.7195694144","20726.6273069784","22353.3007402251","22994.5400766268","23829.7318894555","25595.9811078178","27330.8819148951","29706.2878399128","31767.0524574202","34825.5775570815","34087.7590143959","33957.90164873","32983.1851844809","31920.4454737569","30587.4243464573","30295.2127792148","30734.1751962539","",
